Metric,Manual,Autotuned,ImprovementPercent
Nominal altitude RMSE [m],2.47003994135754,2.38329310086226,3.51196104333458
Nominal airspeed RMSE [m/s],0.0801668369151986,0.0274500167291344,65.7588876081373
Nominal course RMSE [deg],3.07463157954912,2.60690516474738,15.2124377409255
Wind altitude RMSE [m],2.47163449295442,2.3851651356939,3.49846862499322
Wind airspeed RMSE [m/s],0.0803420380349601,0.0275054798682173,65.7645231052658
Wind course RMSE [deg],3.35326400770984,2.82209962950123,15.8402194693693
Elevator RMS [deg],6.30811403532182,6.32849902191312,-0.323155010787009
Aileron RMS [deg],0.749917009581061,1.14145458372022,-52.2107872120261
Elevator saturation fraction,0.000583284726272811,0.000833263894675444,-42.8571428571429
Aileron saturation fraction,0.000416631947337722,0.00141654862094825,-240
Waypoint final error [m],13.248819715726,11.4632557324171,13.4771551098206
Maximum roll [deg],36.7284217790793,38.4280339775727,-4.62751219945292
Maximum pitch [deg],19.8688971718144,20.7868861096404,-4.62023095639267
